iter	Passed	Remaining
615	24909	15528
616	24924	15471
617	24940	15416
618	24971	15370
619	24988	15315
620	25017	15268
621	25032	15212
622	25063	15167
623	25080	15112
624	25109	15065
625	25141	15020
626	25171	14974
627	25187	14919
628	25217	14873
629	25231	14818
630	25262	14773
631	25308	14736
632	25341	14692
633	25372	14647
634	25403	14602
635	25412	14544
636	25466	14512
637	25481	14458
638	25513	14413
639	25574	14385
640	25623	14350
641	25654	14305
642	25684	14260
643	25730	14223
644	25791	14195
645	25822	14150
646	25869	14114
647	25915	14077
648	25963	14041
649	26009	14005
650	26057	13969
651	26104	13933
652	26137	13889
653	26167	13843
654	26197	13798
655	26229	13754
656	26276	13717
657	26291	13664
658	26338	13628
659	26354	13576
660	26369	13523
661	26383	13470
662	26413	13425
663	26476	13397
664	26522	13361
665	26538	13309
666	26586	13273
667	26617	13228
668	26632	13176
669	26640	13121
670	26677	13080
671	26708	13036
672	26739	12992
673	26754	12940
674	26769	12888
675	26801	12845
676	26811	12792
677	26878	12765
678	26909	12721
679	26956	12685
680	26987	12641
681	27019	12598
682	27050	12554
683	27080	12510
684	27112	12467
685	27158	12431
686	27174	12380
687	27190	12330
688	27221	12287
689	27268	12250
690	27300	12208
691	27330	12164
692	27361	12121
693	27392	12077
694	27437	12040
695	27469	11998
696	27500	11955
697	27547	11918
698	27578	11875
699	27610	11832
700	27623	11782
701	27687	11753
702	27701	11703
703	27718	11654
704	27749	11611
705	27763	11561
706	27771	11509
707	27840	11482
708	27886	11445
709	27917	11402
710	27949	11360
711	27978	11316
712	28010	11274
713	28041	11232
714	28057	11183
715	28104	11147
716	28151	11111
717	28182	11068
718	28213	11026
719	28245	10984
720	28275	10941
721	28292	10893
722	28336	10856
723	28351	10807
724	28383	10766
725	28429	10729
726	28444	10681
727	28459	10633
728	28505	10596
729	28538	10555
730	28584	10518
731	28632	10482
732	28647	10434
733	28676	10392
734	28723	10355
735	28732	10306
736	28740	10256
737	28769	10213
738	28784	10166
739	28800	10118
740	28847	10082
741	28894	10046
742	28908	9999
743	28938	9957
744	28985	9921
745	29032	9884
746	29065	9844
747	29081	9797
748	29112	9755
749	29143	9714
750	29157	9667
751	29173	9621
752	29218	9584
753	29266	9548
754	29313	9512
755	29329	9466
756	29374	9429
757	29405	9387
758	29452	9351
759	29482	9310
760	29515	9269
761	29578	9238
762	29609	9197
763	29640	9156
764	29672	9115
765	29686	9068
766	29719	9028
767	29747	8986
768	29764	8940
769	29796	8900
770	29827	8859
771	29841	8813
772	29856	8767
773	29871	8722
774	29887	8677
775	29919	8636
776	29964	8599
777	29996	8559
778	30044	8523
779	30073	8482
780	30087	8436
781	30133	8400
782	30180	8364
783	30212	8323
784	30259	8287
785	30290	8247
786	30321	8206
787	30352	8165
788	30396	8128
789	30413	8084
790	30444	8044
791	30476	8003
792	30523	7967
793	30569	7931
794	30583	7886
795	30616	7846
796	30661	7809
797	30709	7773
798	30741	7733
799	30773	7693
800	30804	7653
801	30820	7608
802	30850	7568
803	30911	7535
804	30960	7499
805	30991	7459
806	31023	7419
807	31053	7379
808	31115	7346
809	31161	7309
810	31192	7269
811	31240	7233
812	31272	7193
813	31288	7149
814	31333	7112
815	31348	7068
816	31410	7035
817	31455	6998
818	31501	6961
819	31532	6921
820	31578	6884
821	31609	6844
822	31639	6804
823	31685	6767
824	31700	6724
825	31716	6681
826	31778	6647
827	31825	6611
828	31873	6574
829	31904	6534
830	31919	6491
831	31966	6454
832	32014	6418
833	32059	6381
834	32090	6341
835	32107	6298
836	32138	6258
837	32169	6218
838	32185	6176
839	32217	6136
840	32232	6093
841	32279	6057
842	32311	6017
843	32341	5977
844	32373	5938
845	32418	5901
846	32451	5861
847	32465	5819
848	32497	5779
849	32528	5740
850	32575	5703
851	32606	5664
852	32638	5624
853	32670	5585
854	32684	5542
855	32714	5503
856	32730	5461
857	32762	5422
858	32777	5380
859	32807	5340
860	32839	5301
861	32869	5262
862	32899	5222
863	32929	5183
864	32976	5146
865	33006	5107
866	33069	5072
867	33085	5031
868	33116	4992
869	33162	4955
870	33178	4913
871	33222	4876
872	33269	4839
873	33285	4798
874	33317	4759
875	33362	4722
876	33394	4683
877	33425	4644
878	33472	4607
879	33520	4570
880	33551	4531
881	33597	4494
882	33643	4457
883	33689	4420
884	33720	4381
885	33767	4344
886	33831	4309
887	33861	4270
888	33892	4231
889	33937	4194
890	33969	4155
891	33985	4114
892	34015	4075
893	34046	4036
894	34093	3999
895	34139	3962
896	34202	3927
897	34218	3886
898	34249	3847
899	34280	3808
900	34342	3773
901	34372	3734
902	34419	3697
903	34466	3660
904	34514	3623
905	34544	3584
906	34559	3543
907	34621	3507
908	34650	3468
909	34660	3427
910	34681	3388
911	34711	3349
912	34727	3309
913	34773	3271
914	34805	3233
915	34852	3196
916	34915	3160
917	34931	3120
918	34976	3082
919	35022	3045
920	35038	3005
921	35068	2966
922	35100	2928
923	35132	2889
924	35177	2852
925	35223	2814
926	35254	2776
927	35285	2737
928	35317	2699
929	35347	2660
930	35393	2623
931	35423	2584
932	35439	2544
933	35470	2506
934	35485	2466
935	35515	2428
936	35546	2390
937	35576	2351
938	35607	2313
939	35654	2275
940	35701	2238
941	35734	2200
942	35781	2162
943	35813	2124
944	35844	2086
945	35874	2047
946	35906	2009
947	35936	1971
948	35968	1932
949	36016	1895
950	36031	1856
951	36046	1817
952	36077	1779
953	36108	1741
954	36156	1703
955	36187	1665
956	36217	1627
957	36248	1589
958	36293	1551
959	36308	1512
960	36323	1474
961	36356	1436
962	36385	1398
963	36417	1359
964	36480	1323
965	36511	1285
966	36558	1247
967	36567	1208
968	36588	1170
969	36651	1133
970	36698	1096
971	36714	1057
972	36760	1020
973	36807	982
974	36854	944
975	36915	907
976	36976	870
977	37022	832
978	37053	794
979	37083	756
980	37130	719
981	37146	680
982	37188	643
983	37239	605
984	37284	567
985	37347	530
986	37378	492
987	37386	454
988	37423	416
989	37469	378
990	37517	340
991	37548	302
992	37578	264
993	37609	227
994	37656	189
995	37687	151
996	37733	113
997	37779	75
998	37827	37
999	37857	0
